,fiber,carbo,protein,fat,calories
0,10.0,5.0,4,1,70
1,2.0,8.0,3,5,120
2,9.0,7.0,4,1,70
3,14.0,8.0,4,0,50
4,1.0,14.0,2,2,110
5,1.5,10.5,2,2,110
6,1.0,11.0,2,0,110
7,2.0,18.0,3,2,130
8,4.0,15.0,2,1,90
9,5.0,13.0,3,0,90
10,0.0,12.0,1,2,120
11,2.0,17.0,6,2,110
12,0.0,13.0,1,3,120
13,2.0,13.0,3,2,110
14,0.0,12.0,1,1,110
15,0.0,22.0,2,0,110
16,1.0,21.0,2,0,100
17,1.0,13.0,1,0,110
18,0.0,12.0,1,1,110
19,4.0,10.0,3,3,110
20,1.0,21.0,3,0,100
21,1.0,21.0,2,0,110
22,2.0,11.0,2,1,100
23,1.0,18.0,2,0,100
24,1.0,11.0,2,1,110
25,1.0,14.0,1,0,110
26,3.0,14.0,3,0,100
27,5.0,12.0,3,2,120
28,5.0,14.0,3,0,120
29,0.0,13.0,1,1,110
30,0.0,11.0,2,0,100
31,0.0,15.0,1,1,110
32,3.0,15.0,3,1,100
33,3.0,17.0,3,0,110
34,3.0,13.0,3,3,120
35,1.0,12.0,1,2,120
36,1.5,11.5,3,1,110
37,0.0,14.0,1,0,110
38,1.0,17.0,2,1,110
39,2.0,20.0,3,1,140
40,0.0,21.0,2,1,110
41,2.0,12.0,4,2,100
42,0.0,12.0,2,1,110
43,0.0,16.0,4,1,100
44,3.0,16.0,4,3,150
45,3.0,16.0,4,3,150
46,3.0,17.0,3,2,160
47,2.0,15.0,2,1,100
48,0.0,15.0,2,1,120
49,3.0,21.0,3,2,140
50,3.0,18.0,3,0,90
51,1.5,13.5,3,2,130
52,6.0,11.0,3,1,120
53,1.0,20.0,3,0,100
54,0.0,13.0,1,0,50
55,1.0,10.0,2,0,50
56,2.0,14.0,4,1,100
57,2.7,-1.0,5,2,100
58,5.0,14.0,3,1,120
59,2.5,10.5,3,2,100
60,2.0,15.0,2,0,90
61,0.0,23.0,1,0,110
62,0.0,22.0,2,0,110
63,3.0,16.0,2,0,80
64,4.0,19.0,3,0,90
65,3.0,20.0,3,0,90
66,1.0,9.0,2,1,110
67,1.0,16.0,6,0,110
68,3.0,15.0,2,0,90
69,0.0,21.0,2,1,110
70,4.0,15.0,3,1,140
71,3.0,16.0,3,1,100
72,0.0,21.0,2,1,110
73,0.0,13.0,1,1,110
74,3.0,17.0,3,1,100
75,3.0,17.0,3,1,100
76,1.0,16.0,2,1,110
